0.94417,-1.0135
1.2174,0.88285
-1.119,-0.56635
1.2401,0.085599
0.39708,-1.0031
-1.2074,0.30595
-0.66451,-0.71109
0.14064,0.46224
1.3725,0.56764
1.3947,0.74445
-1.0272,-0.14838
1.4118,-1.2485
1.3715,-0.81307
-0.043873,1.24
0.90084,-1.0429
-1.0743,0.97745
-0.23472,0.11503
1.2472,1.4884
0.87662,-1.2655
1.3785,-0.17197
0.46722,-1.18
-1.3929,1.3857
1.0474,-1.4861
1.302,0.82473
0.53621,0.95191
0.77322,1.1061
0.7294,-1.2467
-0.32332,-0.30065
0.46643,-0.72039
-0.98644,0.90021
0.61814,-0.20576
-1.4045,1.2319
-0.66923,-0.95446
-1.3615,-0.70859
-1.2086,-1.0634
0.97037,-1.0918
0.58449,1.1079
-0.5487,0.23911
1.3507,0.14958
-1.3967,-1.0651
-0.18377,1.0591
-0.35532,0.36617
0.79655,-0.44714
0.8856,0.039749
-0.93938,-0.29458
-0.030707,-1.2721
-0.16324,-0.78025
0.43894,-1.13
0.62809,-0.94828
0.76406,-0.78014
